name,world_ranking,region_ranking,country_ranking,region,country,city\state,acceptance_rate,publication,website,phone_no,address
University of Virginia,"#50 of 14,131","#43 of 2,597","#40 of 2,496",Europe,Italy,Tuscany,,"103,343",www.virginia.edu,4349240311,"1827 University Avenue
 Charlottesville, Virginia, 22903-2628 
United States"
University of Warsaw,,,,North America,United States,New Jersey,51%,"54,854",www.uw.edu.pl,+48 (22) 552 0000,"ul. Krakowskie Przedmiescie 26/28
 Warszawa, Masovian Voivodeship, 00-927 
Poland"
University of Warwick,"#139 of 14,131","#37 of 2,785",#14 of 163,Asia,Japan,Tokyo,85%,"70,799",warwick.ac.uk,+44 (24) 7652 3706,"University House, Gibbet Hill
 Coventry, West Midlands, CV4 7AL 
United Kingdom"
University of Washington - Seattle,"#8 of 14,131","#7 of 2,597","#7 of 2,496",Asia,South Korea,Seoul,,"270,033",washington.edu,2065432100,"1400 NE Campus Parkway
 Seattle, Washington, 98195-4550 
United States"
University of Waterloo,"#117 of 14,131","#71 of 2,597",#6 of 101,Oceania,Australia,Crawley,29%,"81,979",uwaterloo.ca,+1 (519) 888 4567,"200 University Avenue West
 Waterloo, Ontario, N2L 3G1 
Canada"
University of Western Australia,"#184 of 14,131",#9 of 59,#8 of 40,North America,Canada,Ontario,25%,"76,861",uwa.edu.au,+61 (0)8 6488 6000,"35 Stirling Highway
 Crawley, Western Australia, 6009 
Australia"
University of Wisconsin - Madison,"#15 of 14,131","#13 of 2,597","#13 of 2,496",North America,United States,Alabama,,"209,504",www.wisc.edu,6082632400,"500 Lincoln Dr
 Madison, Wisconsin, 53706-1380 
United States"
University of Wurzburg,,,,North America,United States,Tennessee,13%,"54,472",uni-wuerzburg.de,+49 (931) 310,"Sanderring 2
 Würzburg, Bavaria, 97070 
Germany"
University of York,"#199 of 14,131","#68 of 2,785",#21 of 163,North America,United States,Kentucky,41%,"51,711",york.ac.uk,+44 (1904) 430 000,"Heslington
 York, Yorkshire and the Humber, YO10 5DD 
United Kingdom"
University of Zurich,"#81 of 14,131","#15 of 2,785",#2 of 23,Asia,China,Hefei,65%,"110,940",uzh.ch,+41 (44) 634 1111,"Rämistrasse 71
 Zürich, Zurich, 8006 
Switzerland"
Uppsala University,"#106 of 14,131","#26 of 2,785",#2 of 39,Europe,United Kingdom,Wales,5%,"93,456",uu.se,+46 (18) 471 0000,"von Kraemers allé 1, Blåsenhus
 Uppsala, Uppsala County, 752 36 
Sweden"
Utrecht University,"#71 of 14,131","#10 of 2,785",#2 of 58,North America,United States,Pennsylvania,,"123,328",www.uu.nl,+31 (30) 253 7000,"Heidelberglaan 8
 Utrecht, Utrecht, 3584 CS 
Netherlands"
Vanderbilt University,"#72 of 14,131","#54 of 2,597","#51 of 2,496",Europe,Germany,Bavaria,,"95,375",vanderbilt.edu,6153227311,"2101 West End Avenue
 Nashville, Tennessee, 37240 
United States"
Virginia Commonwealth University,,,,Europe,United Kingdom,England,30%,"44,300",vcu.edu,8048280100,"910 W Franklin St
 Richmond, Virginia, 23284-2512 
United States"
Virginia Polytechnic Institute and State University,"#95 of 14,131","#63 of 2,597","#59 of 2,496",Europe,United Kingdom,England,94%,"82,976",vt.edu,5402316994,"210 Burruss Hall, 800 Drillfield Dr.
 Blacksburg, Virginia, 24061-0131 
United States"
Wageningen University,,,,North America,United States,Georgia,16%,"47,281",www.wur.nl,+31 (317) 484 848,"Droevendaalsesteeg 4
 Wageningen, Gelderland, 6708 PB 
Netherlands"
Wake Forest University,,,,Europe,United Kingdom,England,18%,"43,001",www.wfu.edu,3367585000,"1834 Wake Forest Road
 Winston-Salem, North Carolina, 27106 
United States"
Waseda University,,,,North America,United States,Minnesota,70%,"44,145",www.waseda.jp,+81 (3) 3203 4141,"1-104 Totsuka-machi, Shinjuku-ku
 Tokyo, Tokyo, 169-8050 
Japan"
Washington State University,"#156 of 14,131","#87 of 2,597","#77 of 2,496",Europe,Sweden,Stockholm,41%,"49,351",wsu.edu,5093353564,"French Administration Building
 Pullman, Washington, 99164-5910 
United States"
Washington University in St Louis,"#44 of 14,131","#39 of 2,597","#37 of 2,496",North America,United States,Louisiana,,"147,171",wustl.edu,3149355000,"One Brookings Drive
 Saint Louis, Missouri, 63130-4899 
United States"
Wayne State University,"#194 of 14,131","#100 of 2,597","#89 of 2,496",Europe,Spain,Barcelona,43%,"72,575",wayne.edu,3135772424,"656 West Kirby Street
 Detroit, Michigan, 48202 
United States"
West Virginia University,,,,North America,United States,Florida,53%,"42,794",www.wvu.edu,3042930111,"PO Box 6201
 Morgantown, West Virginia, 26506 
United States"
Western University,"#134 of 14,131","#79 of 2,597",#9 of 101,Europe,Netherlands,Amsterdam,20%,"87,102",uwo.ca,+1 (519) 661 2111,"1151 Richmond Street
 London, Ontario, N6A 3K7 
Canada"
Wuhan University,,,,North America,United States,Massachusetts,73%,"97,744",whu.edu.cn,+86 (27) 6875 3912,"Luojia Hill, Wuchan District
 Wuhan, Hubei, 430072 
China"
Xi'an Jiaotong University,,,,North America,United States,Connecticut,7%,"96,097",www.xjtu.edu.cn,+86 (29) 266 8830,"28 Xianning Road
 Xi'an, Shaanxi, 710049 
China"
Yale University,"#11 of 14,131","#9 of 2,597","#9 of 2,496",Asia,China,Xi'an,,"198,095",www.yale.edu,2034324771,"Woodbridge Hall
 New Haven, Connecticut, 06520 
United States"
Yonsei University,,,,North America,United States,Washington,56%,"95,497",www.yonsei.ac.kr,+82 (2) 2123 2114,"134 Sinchon-dong, Seodaemun-gu
 Seoul, Seoul, 120-749 
South Korea"
York University,,,,Oceania,Australia,Canberra,33%,"41,257",yorku.ca,+1 (416) 736 5002,"4700 Keele Street
 Toronto, Ontario, M3J 1P3 
Canada"
Zhejiang University,"#109 of 14,131","#7 of 5,830",#3 of 960,North America,United States,Alabama,52%,"176,136",www.zju.edu.cn,+86 (571) 8795 1020,"38 Zheda Road, Xihu
 Hangzhou, Zhejiang, 310027 
China"
